epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2202,1.4956,2.64845,1.82366,0.35016,0.42981,0.31174,0.1124,2.06712,2.49796,2.80119,0.000551912,0.000551912,0.000551912
2,45.6115,1.6808,2.13227,1.98059,0.12749,0.32788,0.14627,0.04812,2.26171,2.93984,3.12087,0.00108565,0.00108565,0.00108565
3,65.96,1.76225,2.17285,2.04567,0.14829,0.3625,0.11662,0.03075,2.52504,2.81417,3.26773,0.00159738,0.00159738,0.00159738
4,86.2138,1.75228,2.10897,2.02445,0.28158,0.41346,0.25371,0.07209,2.25122,2.50335,2.87146,0.00156798,0.00156798,0.00156798
5,106.528,1.68756,2.03199,1.96485,0.4128,0.42026,0.37026,0.13234,2.20594,2.18969,2.71236,0.00153497,0.00153497,0.00153497
6,126.834,1.66742,1.97968,1.94125,0.37604,0.51752,0.41674,0.12676,2.30802,2.30427,2.9509,0.00150197,0.00150197,0.00150197
7,147.124,1.67128,2.03279,1.95476,0.35064,0.53077,0.42316,0.1605,2.16954,2.0087,2.89748,0.00146896,0.00146896,0.00146896
8,167.474,1.59812,1.98617,1.90234,0.45186,0.45,0.46407,0.17442,2.22914,1.9366,2.84984,0.00143595,0.00143595,0.00143595
9,187.784,1.58484,1.83823,1.87254,0.7905,0.52814,0.63703,0.29337,1.87174,1.71454,2.39682,0.00140295,0.00140295,0.00140295
10,208.279,1.53804,1.82859,1.86589,0.63773,0.63921,0.62765,0.2557,2.0492,1.7345,2.64328,0.00136994,0.00136994,0.00136994
11,228.576,1.51801,1.74959,1.79743,0.70689,0.60385,0.6692,0.25224,1.91541,1.67013,2.42783,0.00133693,0.00133693,0.00133693
12,248.877,1.51527,1.73434,1.80973,0.72985,0.66538,0.71499,0.29746,1.87943,1.56439,2.38986,0.00130393,0.00130393,0.00130393
13,269.262,1.51022,1.73589,1.81732,0.761,0.57692,0.65532,0.27198,1.90735,1.58488,2.42378,0.00127092,0.00127092,0.00127092
14,289.532,1.42878,1.65691,1.75641,0.65434,0.58622,0.66523,0.29007,1.83996,1.48811,2.23416,0.00123791,0.00123791,0.00123791
15,309.835,1.41154,1.65506,1.75842,0.82905,0.68216,0.72929,0.32714,1.84294,1.57105,2.35028,0.00120491,0.00120491,0.00120491
16,330.218,1.41924,1.59122,1.77148,0.55974,0.69038,0.67936,0.29351,1.82814,1.61924,2.40237,0.0011719,0.0011719,0.0011719
17,350.475,1.42353,1.54897,1.75855,0.62659,0.72115,0.74703,0.37696,1.65606,1.50783,2.13907,0.00113889,0.00113889,0.00113889
18,370.784,1.37088,1.50406,1.71533,0.70944,0.69341,0.72771,0.3536,1.83581,1.39074,2.38238,0.00110589,0.00110589,0.00110589
19,391.044,1.37874,1.47045,1.7087,0.70837,0.68774,0.73565,0.33575,1.78387,1.47493,2.38356,0.00107288,0.00107288,0.00107288
20,411.454,1.32556,1.45372,1.6747,0.86204,0.63365,0.77171,0.39111,1.71737,1.30288,2.23284,0.00103987,0.00103987,0.00103987
21,431.757,1.32818,1.40132,1.66854,0.63923,0.65192,0.7102,0.34954,1.67201,1.46924,2.13217,0.00100687,0.00100687,0.00100687
22,452.053,1.3056,1.38754,1.65696,0.93823,0.65962,0.81803,0.41096,1.65992,1.24895,2.17009,0.000973861,0.000973861,0.000973861
23,472.296,1.26271,1.36048,1.62891,0.7921,0.77981,0.84209,0.45645,1.59332,1.15766,2.1798,0.000940855,0.000940855,0.000940855
24,491.999,1.24477,1.27815,1.60126,0.8038,0.72788,0.79873,0.35395,1.78803,1.29963,2.44663,0.000907848,0.000907848,0.000907848
25,512.289,1.26877,1.26599,1.62251,0.81427,0.72212,0.79787,0.39348,1.67803,1.22256,2.21966,0.000874842,0.000874842,0.000874842
26,532.574,1.2812,1.30216,1.63519,0.7668,0.72051,0.74674,0.3845,1.67085,1.33899,2.18608,0.000841835,0.000841835,0.000841835
27,552.983,1.2139,1.2665,1.57174,0.75537,0.74004,0.79321,0.41715,1.54855,1.15858,2.094,0.000808828,0.000808828,0.000808828
28,573.356,1.16511,1.1757,1.55188,0.79233,0.73276,0.82465,0.43299,1.61173,1.18544,2.12549,0.000775822,0.000775822,0.000775822
29,593.773,1.17707,1.19827,1.54801,0.89155,0.77464,0.85914,0.43415,1.59667,1.14249,2.15874,0.000742815,0.000742815,0.000742815
30,614.143,1.18237,1.1543,1.55466,0.84787,0.69549,0.81851,0.44521,1.57726,1.19436,2.10345,0.000709809,0.000709809,0.000709809
31,634.502,1.158,1.14363,1.53343,0.84718,0.82981,0.85947,0.42167,1.58292,1.1018,2.15213,0.000676802,0.000676802,0.000676802
32,654.789,1.12247,1.09282,1.51916,0.82805,0.79808,0.86298,0.47815,1.54582,1.02636,2.03074,0.000643795,0.000643795,0.000643795
33,675.067,1.11211,1.08167,1.51731,0.85934,0.84176,0.8562,0.46095,1.56409,1.06422,2.11179,0.000610789,0.000610789,0.000610789
34,695.366,1.13406,1.07645,1.49864,0.83517,0.78356,0.86205,0.47204,1.52296,1.07127,2.01004,0.000577782,0.000577782,0.000577782
35,715.654,1.08627,1.04102,1.48348,0.83889,0.86103,0.90414,0.4777,1.56122,0.99057,2.11658,0.000544776,0.000544776,0.000544776
36,735.894,1.07163,0.99209,1.46068,0.8151,0.76806,0.859,0.46417,1.49284,1.13217,2.00614,0.000511769,0.000511769,0.000511769
37,756.177,1.10121,1.00271,1.49315,0.86028,0.77622,0.88684,0.52188,1.45578,1.05605,1.93066,0.000478762,0.000478762,0.000478762
38,776.506,1.06464,1.02791,1.46915,0.93457,0.80688,0.89725,0.49991,1.4627,1.03597,1.99499,0.000445756,0.000445756,0.000445756
39,796.984,1.06948,0.97896,1.47471,0.82767,0.79135,0.87487,0.45611,1.51663,1.07168,2.06168,0.000412749,0.000412749,0.000412749
40,817.249,1.01724,0.92462,1.44079,0.87983,0.77212,0.87657,0.49656,1.48211,0.98501,2.00595,0.000379743,0.000379743,0.000379743
41,838.241,0.93911,0.77893,1.45398,0.76209,0.832,0.8613,0.45422,1.47293,1.04123,1.9712,0.000346736,0.000346736,0.000346736
42,858.523,0.9135,0.72359,1.44781,0.73518,0.84214,0.85239,0.45404,1.5307,1.10179,2.12668,0.000313729,0.000313729,0.000313729
43,878.743,0.92007,0.67168,1.44497,0.86352,0.80246,0.88105,0.47411,1.5096,0.96185,2.04521,0.000280723,0.000280723,0.000280723
44,899.007,0.89329,0.67358,1.42375,0.91561,0.77212,0.87937,0.4764,1.49222,1.02328,2.08084,0.000247716,0.000247716,0.000247716
45,919.279,0.82606,0.62256,1.3631,0.92275,0.75415,0.8844,0.46576,1.47397,0.97998,2.01216,0.00021471,0.00021471,0.00021471
46,939.534,0.8235,0.62127,1.37103,0.87401,0.74814,0.84211,0.45054,1.54753,0.97016,2.07378,0.000181703,0.000181703,0.000181703
47,959.838,0.80898,0.57164,1.34396,0.86574,0.87295,0.91066,0.50441,1.42603,0.88586,1.96961,0.000148696,0.000148696,0.000148696
48,980.09,0.79795,0.57063,1.31702,0.85507,0.81869,0.90625,0.50281,1.46471,0.89666,2.0198,0.00011569,0.00011569,0.00011569
49,1000.52,0.76534,0.55133,1.29791,0.86679,0.84586,0.90674,0.48442,1.49049,0.91129,2.0586,8.26832e-05,8.26832e-05,8.26832e-05
50,1020.76,0.75007,0.52664,1.28723,0.85934,0.86306,0.91402,0.49168,1.47294,0.91907,2.03952,4.96766e-05,4.96766e-05,4.96766e-05
